Draw Date,Winning Numbers,Mega Ball,Multiplier,Number1,Number2,Number3,Number4,Number5
2022-10-07,06 11 29 36 55,21,2.0,6,11,29,36,55
2022-10-04,15 18 25 33 38,25,2.0,15,18,25,33,38
2022-09-30,16 26 37 40 51,6,4.0,16,26,37,40,51
2022-09-27,08 14 24 43 51,9,3.0,8,14,24,43,51
2022-09-23,05 50 53 58 64,22,4.0,5,50,53,58,64
2022-09-20,09 21 28 30 52,10,5.0,9,21,28,30,52
2022-09-16,15 30 35 38 66,12,4.0,15,30,35,38,66
2022-09-13,14 25 38 59 64,21,4.0,14,25,38,59,64
2022-09-09,16 21 54 55 69,22,2.0,16,21,54,55,69
2022-09-06,06 17 46 59 68,2,4.0,6,17,46,59,68
2022-09-02,39 40 52 60 67,20,2.0,39,40,52,60,67
2022-08-30,02 38 55 57 65,17,3.0,2,38,55,57,65
2022-08-26,06 27 30 38 64,23,2.0,6,27,30,38,64
2022-08-23,03 05 47 48 67,7,2.0,3,5,47,48,67
2022-08-19,12 18 24 46 65,3,4.0,12,18,24,46,65
2022-08-16,33 35 41 45 51,1,2.0,33,35,41,45,51
2022-08-12,23 24 50 54 64,3,3.0,23,24,50,54,64
2022-08-09,01 08 10 25 32,13,3.0,1,8,10,25,32
2022-08-05,02 05 29 64 69,18,3.0,2,5,29,64,69
2022-08-02,10 14 25 37 63,14,3.0,10,14,25,37,63
2022-07-29,13 36 45 57 67,14,2.0,13,36,45,57,67
2022-07-26,07 29 60 63 66,15,3.0,7,29,60,63,66
2022-07-22,14 40 60 64 66,16,3.0,14,40,60,64,66
2022-07-19,02 31 32 37 70,25,3.0,2,31,32,37,70
2022-07-15,08 20 26 53 64,15,5.0,8,20,26,53,64
2022-07-12,04 07 10 45 64,12,2.0,4,7,10,45,64
2022-07-08,20 36 61 62 69,20,3.0,20,36,61,62,69
2022-07-05,27 31 50 51 61,21,4.0,27,31,50,51,61
2022-07-01,01 27 29 38 62,12,3.0,1,27,29,38,62
2022-06-28,07 12 21 43 55,11,2.0,7,12,21,43,55
2022-06-24,01 07 11 25 56,14,2.0,1,7,11,25,56
2022-06-21,08 13 18 32 42,20,3.0,8,13,18,32,42
2022-06-17,20 36 53 56 69,16,2.0,20,36,53,56,69
2022-06-14,30 37 38 42 58,22,2.0,30,37,38,42,58
2022-06-10,03 12 14 18 32,4,5.0,3,12,14,18,32
2022-06-07,04 34 40 41 53,3,4.0,4,34,40,41,53
2022-06-03,11 16 22 48 59,11,4.0,11,16,22,48,59
2022-05-31,06 15 41 63 64,24,4.0,6,15,41,63,64
2022-05-27,03 14 40 53 54,8,3.0,3,14,40,53,54
2022-05-24,03 05 06 63 68,25,3.0,3,5,6,63,68
2022-05-20,33 40 59 60 69,22,3.0,33,40,59,60,69
2022-05-17,07 21 24 41 65,24,4.0,7,21,24,41,65
2022-05-13,11 41 43 44 65,13,3.0,11,41,43,44,65
2022-05-10,15 19 20 61 70,6,3.0,15,19,20,61,70
2022-05-06,16 21 33 52 70,10,2.0,16,21,33,52,70
2022-05-03,15 19 27 35 57,17,2.0,15,19,27,35,57
2022-04-29,09 11 34 49 66,15,2.0,9,11,34,49,66
2022-04-26,05 07 19 46 69,2,4.0,5,7,19,46,69
2022-04-22,07 28 29 58 59,10,3.0,7,28,29,58,59
2022-04-19,02 09 33 47 53,24,3.0,2,9,33,47,53
2022-04-15,04 17 20 46 64,23,4.0,4,17,20,46,64
2022-04-12,02 08 14 20 31,17,2.0,2,8,14,20,31
2022-04-08,08 11 29 32 40,2,3.0,8,11,29,32,40
2022-04-05,22 43 60 63 64,18,2.0,22,43,60,63,64
2022-04-01,26 42 47 48 63,21,5.0,26,42,47,48,63
2022-03-29,07 22 36 45 47,12,2.0,7,22,36,45,47
2022-03-25,03 13 42 51 58,17,2.0,3,13,42,51,58
2022-03-22,08 15 21 27 61,8,3.0,8,15,21,27,61
2022-03-18,02 06 25 40 45,5,4.0,2,6,25,40,45
2022-03-15,09 14 28 59 60,24,5.0,9,14,28,59,60
2022-03-11,24 28 39 44 66,25,3.0,24,28,39,44,66
2022-03-08,07 18 38 58 64,24,3.0,7,18,38,58,64
2022-03-04,11 19 28 46 47,5,4.0,11,19,28,46,47
2022-03-01,18 22 38 39 50,18,2.0,18,22,38,39,50
2022-02-25,15 31 40 56 66,4,3.0,15,31,40,56,66
2022-02-22,06 17 22 57 62,3,3.0,6,17,22,57,62
2022-02-18,06 11 50 63 68,17,4.0,6,11,50,63,68
2022-02-15,02 04 15 21 63,19,3.0,2,4,15,21,63
2022-02-11,11 16 23 24 30,24,3.0,11,16,23,24,30
2022-02-08,01 17 20 52 54,2,3.0,1,17,20,52,54
2022-02-04,07 16 34 44 61,24,4.0,7,16,34,44,61
2022-02-01,11 24 38 62 66,1,4.0,11,24,38,62,66
2022-01-28,03 16 25 44 55,13,3.0,3,16,25,44,55
2022-01-25,03 12 38 53 58,13,3.0,3,12,38,53,58
2022-01-21,38 45 46 55 67,18,2.0,38,45,46,55,67
2022-01-18,04 19 39 42 52,9,4.0,4,19,39,42,52
2022-01-14,05 08 13 22 48,25,2.0,5,8,13,22,48
2022-01-11,02 03 19 52 58,16,2.0,2,3,19,52,58
2022-01-07,07 29 43 56 57,6,3.0,7,29,43,56,57
2022-01-04,04 06 16 21 22,1,3.0,4,6,16,21,22
2021-12-31,02 05 30 46 61,8,3.0,2,5,30,46,61
2021-12-28,03 05 08 31 38,4,3.0,3,5,8,31,38
2021-12-24,16 17 25 36 37,16,2.0,16,17,25,36,37
2021-12-21,25 31 58 64 67,24,3.0,25,31,58,64,67
2021-12-17,21 32 38 48 62,10,3.0,21,32,38,48,62
2021-12-14,33 35 44 55 69,20,3.0,33,35,44,55,69
2021-12-10,23 25 40 42 60,8,2.0,23,25,40,42,60
2021-12-07,01 07 40 43 68,1,2.0,1,7,40,43,68
2021-12-03,22 45 48 58 61,13,5.0,22,45,48,58,61
2021-11-30,07 08 26 30 39,17,2.0,7,8,26,30,39
